Symbol,Description,Price/Earnings (TTM),Price/Earnings (MRFY),Annual Dividend Yield,Price/Earnings (FYF),Price/Book (MRQ),Price/Sales (TTM),Price/Cash Flow (MRFY),Net Profit Margin (MRFY),Debt to Equity (MRQ),Return on Equity (TTM),Return on Assets (MRFY),Count
A,Agilent Technologies Inc,26.08,26.01,0.82%,25.58,5.7,5.26,20.74,20.74%,0.38,23.00%,11.90%,1
AAN,Aaron's Inc,19.7,20.82,0.28%,15.16,2.08,0.98,1.92,5.11%,0.19,11.13%,6.83%,1
AAON,Aaon Inc,53.21,62.86,0.63%,50.31,9.47,5.77,43.95,9.81%,0,18.98%,15.08%,1
AAP,Advance Auto Parts Inc,21.17,26.36,0.16%,18.76,2.99,1.06,15.63,4.37%,0.22,14.25%,5.05%,1
AAPL,Apple Inc,26.18,26.11,0.99%,23.68,15.24,5.23,20.07,21.24%,1.01,55.92%,15.69%,1
AAT,American Assets Trust Inc,59.02,108.66,2.63%,56.95,2.07,7.8,20.34,8.22%,1.03,3.71%,2.12%,1
AAWW,Atlas Air Worldwide Holdings Inc,2.51,2.77,--,5.9,0.31,0.25,1.28,10.11%,0.93,16.22%,5.73%,1
AAXN,Axon Enterprise Inc,266.19,136.46,--,68.48,5.35,8.71,102.81,7.02%,0,3.23%,2.12%,1
ABB,Abb Ltd,56.35,35.36,3.28%,25.91,3.87,1.84,20.94,5.69%,0.59,6.64%,2.23%,1
ABBB,Auburn Bancorp Inc,55.62,19.92,--,13.5,1.09,2.1,14.9,11.58%,0,1.91%,0.16%,1
ABC,AmerisourceBergen Corp,22.64,22.53,1.84%,11.56,6.25,0.1,13.73,0.46%,1.51,28.16%,2.13%,1
ABCB,Ameris Bancorp,14.62,15.08,1.42%,11.07,1.21,4.72,20.92,26.21%,0.14,7.51%,0.98%,1
ABG,Asbury Automotive Group Inc,10.71,12.07,--,10.82,3.23,0.27,9.59,2.45%,1.45,33.52%,6.80%,1
ABM,ABM Industries Inc,20.28,20.29,1.91%,19.43,1.67,0.4,10.96,1.96%,0.48,8.52%,3.48%,1
ABMD,Abiomed Inc,39.48,33.69,--,43.47,8.63,10.41,31.26,33.66%,0,24.75%,21.96%,1
ABR,Arbor Realty Trust Inc,10.38,9.69,8.35%,11.11,1.45,2.91,10.66,30.53%,3.91,14.91%,3.21%,1
ABT,Abbott Laboratories,46.15,61.32,1.69%,26.32,4.74,4.81,26.29,8.06%,0.55,10.53%,4.70%,1
ABTX,Allegiance Bancshares Inc,15.56,15.75,--,15.33,1.09,4.01,18.79,27.37%,0.38,10.08%,1.31%,1
ACA,Arcosa Inc,18.83,30.02,0.44%,19.61,1.25,1.32,15.54,5.08%,0.06,7.42%,6.19%,1
ACBI,Atlantic Capital Bancshares Inc,14.89,16.66,--,15.17,1.21,5.14,11.97,32.51%,0.15,9.05%,1.11%,1
ACC,American Campus Communities Inc,59.58,54.52,4.11%,74.63,1.89,6.74,16.44,13.52%,1.01,3.11%,1.50%,1
ACCO,ACCO Brands Corp,8.89,8.6,2.94%,7.57,1.12,0.44,4.74,5.66%,1.15,13.38%,3.67%,1
ACGL,Arch Capital Group Ltd,12.73,25.19,--,15.83,1.7,2.73,22.28,13.46%,0.21,14.82%,4.24%,1
ACH,Aluminum Corp of China Ltd,107.69,64.04,--,8.48,0.58,0.29,5.93,0.82%,1.08,0.81%,0.63%,1
ACIA,Acacia Communications Inc,103.42,585.43,--,35.14,5.1,6.38,152.36,1.45%,0,5.48%,4.45%,1
ACIW,ACI Worldwide Inc,55.22,81.01,--,41.59,4.2,3.78,29.04,5.54%,1.3,8.53%,3.24%,1
ACLS,Axcelis Technologies Inc,52.2,17.42,--,64.27,1.92,2.3,14.81,10.68%,0.12,3.92%,3.01%,1
ACMR,ACM Research Inc,25.88,64.39,--,23.33,4.67,4.14,61.51,8.81%,0,24.50%,13.01%,1
ACMTA,ACMAT Corp,40.03,34.38,--,30.82,0.79,12.14,33.71,26.96%,0.03,2.05%,1.02%,1
ACN,Accenture PLC,27.71,28.21,1.54%,26.42,8.7,3.1,24.97,11.21%,0,34.92%,16.47%,1
ACNB,ACNB Corp,10.71,11.76,2.75%,36.34,1.38,3.33,10.45,29.77%,0,13.65%,1.41%,1
ACRB,Asia Carbon Industries Inc,0.17,0.1,--,0.01,0.02,0.02,0.08,14.05%,0,10.90%,9.68%,1
ACRE,Ares Commercial Real Estate Corp,12.45,11.98,8.18%,11.62,1.09,3.47,12.07,32.63%,2.88,8.79%,2.19%,1
ACU,Acme United Corp,15.85,18.06,2.05%,15.84,1.43,0.56,10.04,3.35%,0.75,9.54%,4.47%,1
ADBE,Adobe Inc,56.57,56.6,--,34.65,15.57,14.72,46,26.42%,0.09,29.67%,14.93%,1
ADC,Agree Realty Corp,39.52,39.32,3.34%,37.33,2,16.9,29.07,39.68%,0.62,5.49%,3.34%,1
ADES,Advanced Emissions Solutions Inc,6.2,6.3,9.12%,4.69,1.9,3.15,5.71,146.13%,0.24,35.23%,25.18%,1
ADI,Analog Devices Inc,32.52,32.51,1.82%,24.82,3.73,7.29,20.08,22.75%,0.44,11.84%,6.52%,1
ADM,Archer Daniels Midland Co,21.4,14.02,3.19%,17.01,1.3,0.38,8.99,2.77%,0.4,6.13%,2.87%,1
ADP,Automatic Data Processing Inc,31.53,32.65,2.13%,27.71,13.83,5.16,27.4,16.18%,0.19,47.20%,6.31%,1
ADRNY,Koninklijke Ahold Delhaize NV,14.54,14.73,2.67%,13.74,1.76,0.38,6.99,2.83%,0.89,12.24%,4.46%,1
ADS,Alliance Data Systems Corp,8.37,6.62,2.25%,6.65,3.45,0.84,3.55,11.98%,8.72,36.37%,2.45%,1
ADUS,Addus Homecare Corp,66.32,71.15,--,42.4,3.31,2.6,59.58,3.35%,0.13,5.56%,3.90%,1
ADVC,Advant-e Corp,176.49,176.61,0.00%,5.33,69.07,31.68,143.46,19.80%,0,39.27%,30.79%,1
AE,Adams Resources & Energy Inc,95.65,55.08,2.50%,38.46,1.09,0.09,11.97,0.17%,0.03,1.13%,0.54%,1
AEE,Ameren Corp,23.73,23.23,2.57%,23.55,2.35,3.15,10.67,13.05%,1.07,10.20%,2.91%,1
AEEX,Asia Equity Exchange Group Inc,320.47,460.71,--,5.98,40.37,159.58,473.23,51.68%,0,25.08%,20.28%,1
AEG,Aegon NV,10.61,12.89,7.58%,7.06,0.33,0.19,4.11,3.62%,0.44,3.15%,0.21%,1
AEIS,Advanced Energy Industries Inc,40.87,18.22,--,31.22,4.11,4.48,16.29,21.26%,0.49,10.59%,5.49%,1
AEL,American Equity Investment Life Holding Co,34.35,5.95,1.01%,5.28,0.66,1.43,5.88,29.60%,0.18,2.41%,0.12%,1
AEO,American Eagle Outfitters Inc,9.3,9.62,3.89%,9.63,1.87,0.56,5.49,6.49%,0,20.55%,9.67%,1
AEP,American Electric Power Company Inc,22.03,24.35,2.97%,22.45,2.35,2.96,10.97,11.41%,1.25,10.92%,2.90%,1
AER,AerCap Holdings NV,7.84,8.86,--,7.5,0.89,1.69,2.97,21.89%,3.19,11.84%,2.55%,1
AES,AES Corp,25.9,13.12,2.84%,15.12,4.27,1.29,5.7,12.56%,5.69,16.14%,2.36%,1
AFG,American Financial Group Inc,15.18,18.75,1.64%,12.71,1.56,1.26,13.6,7.21%,0.23,11.44%,0.97%,1
